date,block0,block1,block2,block3,block4,block5
2025-01-01,63.1,55.6,28.0,25.31,45.96,27.38
2025-01-02,64.0,68.44,23.1,22.76,23.84,23.5
2025-01-03,40.0,54.95,21.15,27.33,21.98,24.5
2025-01-04,20.0,21.66,19.79,20.0,19.79,19.98
2025-01-05,20.0,20.0,20.98,22.57,37.0,31.92
2025-01-06,41.6,43.7,37.68,27.78,42.43,45.65
2025-01-07,78.5,66.72,41.86,47.84,44.57,35.88
2025-01-08,59.9,73.64,38.6,38.47,43.43,37.16
2025-01-09,76.65,81.63,29.0,33.1,40.0,33.2
2025-01-10,59.6,87.4,40.0,32.0,51.76,27.74
2025-01-11,47.4,76.68,22.6,23.0,31.45,15.9
2025-01-12,50.4,45.6,32.4,30.1,34.3,18.4
2025-01-13,42.14,67.2,27.0,24.7,44.8,22.0
2025-01-14,27.4,50.0,46.4,27.47,52.0,18.4
2025-01-15,21.24,59.68,66.12,37.84,57.18,26.56
2025-01-16,19.24,60.0,56.92,50.36,90.0,20.0
2025-01-17,25.4,40.0,40.0,37.08,72.52,16.7
2025-01-18,15.91,28.8,33.7,36.12,34.9,19.0
2025-01-19,14.78,19.2,26.45,26.68,31.95,15.27
2025-01-20,20.64,47.88,46.5,40.0,58.67,17.2
2025-01-21,16.25,55.2,73.76,47.89,148.54,36.75
2025-01-22,17.2,62.43,60.0,42.5,108.2,32.0
2025-01-23,16.65,57.92,37.42,42.0,40.3,33.63
2025-01-24,24.19,50.39,52.0,40.73,50.01,31.2
2025-01-25,34.3,28.3,36.0,28.9,34.08,19.9
2025-01-26,19.6,21.09,23.4,19.5,36.3,25.8
2025-01-27,50.8,55.2,38.9,40.0,40.0,31.81
2025-01-28,67.75,56.4,48.19,45.1,54.0,32.34
2025-01-29,56.4,55.6,40.2,45.6,50.1,32.0
2025-01-30,35.0,80.96,42.7,38.39,53.39,25.7
2025-01-31,40.0,74.8,28.14,39.52,39.15,19.4
2025-02-01,23.6,33.11,37.5,32.08,30.79,18.0
2025-02-02,18.5,24.3,27.0,33.0,33.9,17.3
2025-02-03,22.45,50.0,50.92,41.36,61.79,25.73
2025-02-04,24.76,54.19,56.4,56.0,50.5,29.44
2025-02-05,19.1,52.58,40.04,40.32,41.87,28.5
2025-02-06,17.52,54.83,42.11,40.32,44.0,25.0
2025-02-07,16.2,48.91,32.8,32.34,34.29,22.0
2025-02-08,16.08,30.47,29.5,27.96,25.0,17.1
2025-02-09,15.0,20.96,26.3,29.25,30.0,16.64
2025-02-10,17.2,39.6,35.14,30.0,33.83,17.0
2025-02-11,18.96,45.85,50.88,32.0,40.0,16.54
2025-02-12,15.94,46.4,40.0,30.0,53.6,15.82
2025-02-13,20.3,46.75,40.0,37.4,56.0,24.74
2025-02-14,15.99,41.0,40.0,33.0,44.0,31.3
2025-02-15,15.39,32.0,32.0,35.0,40.0,29.8
