time_start,time_end,consumed_kWh,charger_true_false
2025-01-01 07:30:00,2025-01-01 08:15:00,4.5,False
2025-01-01 12:00:00,2025-01-01 12:30:00,1.2,False
2025-01-01 17:30:00,2025-01-01 18:15:00,5.0,True
2025-01-02 07:30:00,2025-01-02 08:15:00,4.5,False
2025-01-02 12:00:00,2025-01-02 12:30:00,1.2,False
2025-01-02 17:30:00,2025-01-02 18:15:00,5.0,True
2025-01-03 07:30:00,2025-01-03 08:15:00,4.5,False
2025-01-03 12:00:00,2025-01-03 12:30:00,1.2,False
2025-01-03 17:30:00,2025-01-03 18:15:00,5.0,True
2025-01-04 07:30:00,2025-01-04 08:15:00,4.5,False
2025-01-04 12:00:00,2025-01-04 12:30:00,1.2,False
2025-01-04 17:30:00,2025-01-04 18:15:00,5.0,True
2025-01-05 07:30:00,2025-01-05 08:15:00,4.5,False
2025-01-05 12:00:00,2025-01-05 12:30:00,1.2,False
2025-01-05 17:30:00,2025-01-05 18:15:00,5.0,True
2025-01-06 07:30:00,2025-01-06 08:15:00,4.5,False
2025-01-06 12:00:00,2025-01-06 12:30:00,1.2,False
2025-01-06 17:30:00,2025-01-06 18:15:00,5.0,True
2025-01-07 07:30:00,2025-01-07 08:15:00,4.5,False
2025-01-07 12:00:00,2025-01-07 12:30:00,1.2,False
2025-01-07 17:30:00,2025-01-07 18:15:00,5.0,True
2025-01-08 07:30:00,2025-01-08 08:15:00,4.5,False
2025-01-08 12:00:00,2025-01-08 12:30:00,1.2,False
2025-01-08 17:30:00,2025-01-08 18:15:00,5.0,True
2025-01-09 07:30:00,2025-01-09 08:15:00,4.5,False
2025-01-09 12:00:00,2025-01-09 12:30:00,1.2,False
2025-01-09 17:30:00,2025-01-09 18:15:00,5.0,True
2025-01-10 07:30:00,2025-01-10 08:15:00,4.5,False
2025-01-10 12:00:00,2025-01-10 12:30:00,1.2,False
2025-01-10 17:30:00,2025-01-10 18:15:00,5.0,True
2025-01-11 07:30:00,2025-01-11 08:15:00,4.5,False
2025-01-11 12:00:00,2025-01-11 12:30:00,1.2,False
2025-01-11 17:30:00,2025-01-11 18:15:00,5.0,True
2025-01-12 07:30:00,2025-01-12 08:15:00,4.5,False
2025-01-12 12:00:00,2025-01-12 12:30:00,1.2,False
2025-01-12 17:30:00,2025-01-12 18:15:00,5.0,True
2025-01-13 07:30:00,2025-01-13 08:15:00,4.5,False
2025-01-13 12:00:00,2025-01-13 12:30:00,1.2,False
2025-01-13 17:30:00,2025-01-13 18:15:00,5.0,True
2025-01-14 07:30:00,2025-01-14 08:15:00,4.5,False
2025-01-14 12:00:00,2025-01-14 12:30:00,1.2,False
2025-01-14 17:30:00,2025-01-14 18:15:00,5.0,True
2025-01-15 07:30:00,2025-01-15 08:15:00,4.5,False
2025-01-15 12:00:00,2025-01-15 12:30:00,1.2,False
2025-01-15 17:30:00,2025-01-15 18:15:00,5.0,True
2025-01-16 07:30:00,2025-01-16 08:15:00,4.5,False
2025-01-16 12:00:00,2025-01-16 12:30:00,1.2,False
2025-01-16 17:30:00,2025-01-16 18:15:00,5.0,True
2025-01-17 07:30:00,2025-01-17 08:15:00,4.5,False
2025-01-17 12:00:00,2025-01-17 12:30:00,1.2,False
2025-01-17 17:30:00,2025-01-17 18:15:00,5.0,True
2025-01-18 07:30:00,2025-01-18 08:15:00,4.5,False
2025-01-18 12:00:00,2025-01-18 12:30:00,1.2,False
2025-01-18 17:30:00,2025-01-18 18:15:00,5.0,True
2025-01-19 07:30:00,2025-01-19 08:15:00,4.5,False
2025-01-19 12:00:00,2025-01-19 12:30:00,1.2,False
2025-01-19 17:30:00,2025-01-19 18:15:00,5.0,True
2025-01-20 07:30:00,2025-01-20 08:15:00,4.5,False
2025-01-20 12:00:00,2025-01-20 12:30:00,1.2,False
2025-01-20 17:30:00,2025-01-20 18:15:00,5.0,True
2025-01-21 07:30:00,2025-01-21 08:15:00,4.5,False
2025-01-21 12:00:00,2025-01-21 12:30:00,1.2,False
2025-01-21 17:30:00,2025-01-21 18:15:00,5.0,True
2025-01-22 07:30:00,2025-01-22 08:15:00,4.5,False
2025-01-22 12:00:00,2025-01-22 12:30:00,1.2,False
2025-01-22 17:30:00,2025-01-22 18:15:00,5.0,True
2025-01-23 07:30:00,2025-01-23 08:15:00,4.5,False
2025-01-23 12:00:00,2025-01-23 12:30:00,1.2,False
2025-01-23 17:30:00,2025-01-23 18:15:00,5.0,True
2025-01-24 07:30:00,2025-01-24 08:15:00,4.5,False
2025-01-24 12:00:00,2025-01-24 12:30:00,1.2,False
2025-01-24 17:30:00,2025-01-24 18:15:00,5.0,True
2025-01-25 07:30:00,2025-01-25 08:15:00,4.5,False
2025-01-25 12:00:00,2025-01-25 12:30:00,1.2,False
2025-01-25 17:30:00,2025-01-25 18:15:00,5.0,True
2025-01-26 07:30:00,2025-01-26 08:15:00,4.5,False
2025-01-26 12:00:00,2025-01-26 12:30:00,1.2,False
2025-01-26 17:30:00,2025-01-26 18:15:00,5.0,True
2025-01-27 07:30:00,2025-01-27 08:15:00,4.5,False
2025-01-27 12:00:00,2025-01-27 12:30:00,1.2,False
2025-01-27 17:30:00,2025-01-27 18:15:00,5.0,True
2025-01-28 07:30:00,2025-01-28 08:15:00,4.5,False
2025-01-28 12:00:00,2025-01-28 12:30:00,1.2,False
2025-01-28 17:30:00,2025-01-28 18:15:00,5.0,True
2025-01-29 07:30:00,2025-01-29 08:15:00,4.5,False
2025-01-29 12:00:00,2025-01-29 12:30:00,1.2,False
2025-01-29 17:30:00,2025-01-29 18:15:00,5.0,True
2025-01-30 07:30:00,2025-01-30 08:15:00,4.5,False
2025-01-30 12:00:00,2025-01-30 12:30:00,1.2,False
2025-01-30 17:30:00,2025-01-30 18:15:00,5.0,True
2025-01-31 07:30:00,2025-01-31 08:15:00,4.5,False
2025-01-31 12:00:00,2025-01-31 12:30:00,1.2,False
2025-01-31 17:30:00,2025-01-31 18:15:00,5.0,True
2025-02-01 07:30:00,2025-02-01 08:15:00,4.5,False
2025-02-01 12:00:00,2025-02-01 12:30:00,1.2,False
2025-02-01 17:30:00,2025-02-01 18:15:00,5.0,True
2025-02-02 07:30:00,2025-02-02 08:15:00,4.5,False
2025-02-02 12:00:00,2025-02-02 12:30:00,1.2,False
2025-02-02 17:30:00,2025-02-02 18:15:00,5.0,True
2025-02-03 07:30:00,2025-02-03 08:15:00,4.5,False
2025-02-03 12:00:00,2025-02-03 12:30:00,1.2,False
2025-02-03 17:30:00,2025-02-03 18:15:00,5.0,True
2025-02-04 07:30:00,2025-02-04 08:15:00,4.5,False
2025-02-04 12:00:00,2025-02-04 12:30:00,1.2,False
2025-02-04 17:30:00,2025-02-04 18:15:00,5.0,True
